model_key,model,label,architecture,parallel_generations,prompt_length,output_length,repeat,elapsed_s,generated_tokens,tokens_per_second
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,1,32,512,0,1.4150610300712287,512,361.8218501672878
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,1,32,512,1,1.415405519772321,512,361.7337878422003
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,1,32,512,2,1.4151891092769802,512,361.7891041159727
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,2,32,512,0,1.4456844218075275,1024,708.31502681595
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,2,32,512,1,1.4470016029663384,1024,707.6702595911507
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,2,32,512,2,1.447475764900446,1024,707.438442031828
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,4,32,512,0,1.4927805359475315,2048,1371.9364304948197
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,4,32,512,1,1.4930398757569492,2048,1371.6981262551305
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,4,32,512,2,1.4919334291480482,2048,1372.7154040441922
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,8,32,512,0,1.5498310648836195,4096,2642.8686924710587
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,8,32,512,1,1.5498267719522119,4096,2642.8760130659934
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,8,32,512,2,1.5483925393782556,4096,2645.324034979344
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,16,32,512,0,1.7341716513037682,8192,4723.8691705294395
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,16,32,512,1,1.7365443562157452,8192,4717.414773010405
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,16,32,512,2,1.7409000010229647,8192,4705.612036984505
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,32,32,512,0,2.1484689749777317,16384,7625.89555204995
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,32,32,512,1,2.1486808792687953,16384,7625.143481323081
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,32,32,512,2,2.148990625049919,16384,7624.044427657481
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,64,32,512,0,3.1831528451293707,32768,10294.196224394067
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,64,32,512,1,3.186088307760656,32768,10284.71179539622
dense_1b,allenai/OLMo-2-0425-1B-Instruct,OLMo 2 1B Dense,dense,64,32,512,2,3.1867870669811964,32768,10282.45669110259
