model_key,model,label,architecture,parallel_generations,prompt_length,output_length,repeat,elapsed_s,generated_tokens,tokens_per_second
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,1,32,512,0,1.3978373832069337,512,366.2800881926366
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,1,32,512,1,1.3973342310637236,512,366.4119783355189
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,1,32,512,2,1.3978330227546394,512,366.2812307803598
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,2,32,512,0,1.5341413510031998,1024,667.4743493032046
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,2,32,512,1,1.5339813870377839,1024,667.5439536964718
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,2,32,512,2,1.5341929020360112,1024,667.4519212291103
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,4,32,512,0,1.8857411430217326,2048,1086.0451380502109
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,4,32,512,1,1.887774899136275,2048,1084.8751092818502
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,4,32,512,2,1.8928702571429312,2048,1081.9547680416401
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,8,32,512,0,1.9713830477558076,4096,2077.7291377557617
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,8,32,512,1,1.9696817072108388,4096,2079.523805803186
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,8,32,512,2,1.969841650687158,4096,2079.3549565627036
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,16,32,512,0,2.259801133070141,8192,3625.0977486989923
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,16,32,512,1,2.2620391943491995,8192,3621.511077466932
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,16,32,512,2,2.2621227959170938,8192,3621.3772368086047
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,32,32,512,0,2.8258702820166945,16384,5797.859903288798
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,32,32,512,1,2.8268079133704305,16384,5795.9367958840885
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,32,32,512,2,2.8251902940683067,16384,5799.255375611124
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,64,32,512,0,3.892530843615532,32768,8418.173501115749
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,64,32,512,1,3.9066466209478676,32768,8387.756349472305
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,64,32,512,2,3.903793661855161,32768,8393.886265092195
