model_key,model,label,architecture,context_length,batch_size,repeat,elapsed_s,input_tokens,output_tokens,tokens_per_second
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,128,4,0,0.10419728280976415,512,4,4913.7557736008575
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,128,4,1,0.11145413480699062,512,4,4593.8179044379995
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,128,4,2,0.11045572021976113,512,4,4635.341646239163
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,256,4,0,0.2093504061922431,1024,4,4891.3208176901135
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,256,4,1,0.21228796616196632,1024,4,4823.636584368298
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,256,4,2,0.21098913485184312,1024,4,4853.330484145804
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,512,4,0,0.41054565785452724,2048,4,4988.482914915369
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,512,4,1,0.41009817691519856,2048,4,4993.926126190734
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,512,4,2,0.40388134913519025,2048,4,5070.796174136969
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,1024,4,0,0.8077327641658485,4096,4,5070.984094881887
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,1024,4,1,0.8074605269357562,4096,4,5072.693789186167
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,1024,4,2,0.8081049108877778,4096,4,5068.64881627828
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,2048,4,0,1.6374960532411933,8192,4,5002.76014942759
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,2048,4,1,1.638468611985445,8192,4,4999.790621605616
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,2048,4,2,1.641618773341179,8192,4,4990.196343409781
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,3072,4,0,2.517145955003798,12288,4,4881.71930418769
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,3072,4,1,2.5220929640345275,12288,4,4872.143959492754
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,3072,4,2,2.523558229673654,12288,4,4869.3150233308
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,4095,4,0,3.437938607763499,16380,4,4764.482984952361
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,4095,4,1,3.444131399039179,16380,4,4755.916108360321
dense_7b,allenai/OLMo-2-1124-7B,OLMo 2 7B Dense,dense,4095,4,2,3.446352144703269,16380,4,4752.8515114668635
