model_key,model,label,architecture,context_length,batch_size,repeat,elapsed_s,input_tokens,output_tokens,tokens_per_second
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,128,4,0,0.06392376217991114,512,4,8009.541093013179
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,128,4,1,0.0397599171847105,512,4,12877.290403333318
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,128,4,2,0.040902523789554834,512,4,12517.56499511524
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,256,4,0,0.0626962031237781,1024,4,16332.727485560265
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,256,4,1,0.06204992812126875,1024,4,16502.839423096855
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,256,4,2,0.05926514323800802,1024,4,17278.284402142246
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,512,4,0,0.10692715458571911,2048,4,19153.226399176296
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,512,4,1,0.10748073691502213,2048,4,19054.577208744086
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,512,4,2,0.10726024303585291,2048,4,19093.747525030627
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,1024,4,0,0.19363459758460522,4096,4,21153.24457040961
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,1024,4,1,0.19407317880541086,4096,4,21105.440871388466
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,1024,4,2,0.19464016100391746,4096,4,21043.961219892135
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,2048,4,0,0.37433020491153,8192,4,21884.42154150001
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,2048,4,1,0.3744813478551805,8192,4,21875.588856211903
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,2048,4,2,0.3724887212738395,8192,4,21992.612211142776
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,3072,4,0,0.559902944136411,12288,4,21946.660807352775
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,3072,4,1,0.5691140191629529,12288,4,21591.455466293144
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,3072,4,2,0.5666724205948412,12288,4,21684.48569828257
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,4095,4,0,0.7640990079380572,16380,4,21437.0125204087
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,4095,4,1,0.7634809231385589,16380,4,21454.367101491163
moe_1b7b,allenai/OLMoE-1B-7B-0924-Instruct,OLMoE 1B active / 7B total,moe,4095,4,2,0.7650246690027416,16380,4,21411.074261634432
